location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_47992d84,"Порадуй меня, Сошс. Я пришла по твою эссенцию. И чем быстрее мы покончим с этим, тем лучше!",,,,,
"SO """"",SO_d7804ad2,"Я рад, что ты решилась! Получение эссенции, да и еще первой, это очень важное занятие, но...",,,,,
"SO """"",SO_3b977296,"Все это не так просто, хе-хе-хе.",,,,,
"S """"",S_83e0b115,Да? И что ты хочешь за свою эссенцию?,,,,,
"SO """"",SO_037c6a8d,"Я твой верный преданный слуга и готов поделиться эссенцией с тобой в любую минуту, но тебе нужно добыть ее.",,,,,
"S """"",S_9de21de5,Добыть? Это какая-то уловка? Или ты серьезно?,,,,,
"""""",narrator_76f894ff,"Сошс стал издавать характерные звуки, подталкивая Сару к разгадке.",,,,,
"S """"",S_23b935ee,"Стой! Нет... Неужели... Стоило догадаться, что без этого не обойдется.",,,,,
"S """"",S_8c154ba1,"Рад, что тебя наконец ублажат?",,,,,
"SO """"",SO_3faf12e4,Хи-хе-хе... Конечно!,,,,,
"S """"",S_2e5107ae,(Кто бы сомневался.),,,,,
"S """"",S_527ce643,"(Но мне хотя бы не придется выполнять какое-то мерзкое задание ради того, чтобы получить эту эссенцию. Есть свои плюсы в том, чтобы иметь Сошса в своем подчинении. Кто знает, что бы он вообще придумал...)",,,,,
"S """"",S_0c25618c,"Хорошо, мы можем приступать?",,,,,
"SO """"",SO_cd4df20d,У-у-у--у-у-у-ху-ху-ху! К этому я всегда готов!,,,,,
"S """"",S_bce2c621,Ты можешь не издавать этих звуков?,,,,,
"SO """"",SO_352d5e18,"Прошу меня простить, но этот рефлекс мне неподвластен.",,,,,
"S """"",S_c9fc546a,Напомни мне поговорить с Абатуром по поводу этого...,,,,,
"""""",narrator_ce476b18,"Сара была готова получить свою первую эссенцию. Сошс в свою очередь немедленно начал все нужные подготовки для этого. Как только все было готово, они незамедлительно начали.",,,,,
"SO """"",SO_2a93f955,"Ну что в этот раз, ты готова вернуться к моим членам и стать сильнее???",,,,,
"S """"",S_be5ae176,"В этот раз, я готова поглотить твою эссенцию и не более!",,,,,
"SO """"",SO_4e9f8102,"Хи-хе-хо, я это и имею в виду *странный смех* отлично-отлично.",,,,,
"SO """"",SO_3b5b555b,"Надеюсь сейчас ты не остановишься на самом интересном, в каком же я предвкушении!!!",,,,,
"SO """"",SO_5330d535,"Отлично, ты все поняла, что нужно делать?",,,,,
"S """"",S_4852228f,...,,,,,
"S """"",S_9a9f34a2,Яснее некуда... чего же я могла еще ожидать от тебя...,,,,,
"SO """"",SO_40c990d9,"Я рад, что тебе все нравится! Как только соберешься с мыслями, просто потрогай член.",,,,,
"SO """"",SO_97cad838,У-у-у-у-у-у-хи-хе-ху!! О... Сделай это как следует.,,,,,
"S """"",S_5607ea6b,Замолчи...,,,,,
"S """"",S_636a29bb,"Не отвлекай меня, чтобы я не передумала и не решила получить эссенцию у кого-то другого.",,,,,
"SO """"",SO_f4559a03,Как прикажешь...,,,,,
"S """"",S_184f0e66,Сразу бы так.,,,,,
"centered """"",centered_3006a6b6,"Чтобы получить эссенцию дрона, Саре необходимо победить его в состязании 'Трог-трог мой любимый член!!!'. Правила простые: всего существует 3 этапа, на каждом из них Саре нужно удовлетворить все появляющиеся члены за отведенное время.",,,,,
"S """"",S_548d9b46,"Стоп, что??? Почему 3 раунда???",,,,,
"SO """"",SO_2a855461,В смысле? Что не так? Чтобы получить эссенцию нужно пройти все 3 этапа.,,,,,
"S """"",S_d4f63f1c,"Да, но в прошлый раз я завершила первый этап...",,,,,
"S """"",S_ee943cfb,"Да, но в прошлый раз я завершила два этапа! Мне остался всего один!",,,,,
"SO """"",SO_f3e47f52,Э-э-э-нет! Это не так работает!,,,,,
"S """"",S_7697b1f7,А как???,,,,,
"SO """"",SO_715acb96,"А я разве тебе не говорил? Это священный ритуал по извлечению эссенции, и о-о-очень важный.",,,,,
"S """"",S_75650e69,"А мне кажется тут кто-то хочет, чтобы его члена дольше трогали!",,,,,
"SO """"",SO_53a47de3,"Хи-хе-хо, это только от части правда. На самом деле, ее не так просто получить.",,,,,
"S """"",S_d6d4442d,"Да-да-да, рассказывай мне.",,,,,
"SO """"",SO_5b34d8ef,"Это правда, их нужно хорошенько разгореть, да так хорошенько, чтобы прямо ВАУ!!! Только тогда моя эссенция потечет реками и ты сможешь вкусить ее!",,,,,
"S """"",S_4852228f_1,...,,,,,
"S """"",S_247bd481,{size=-4}О таких вещах нужно предупреждать заранее... возможно бы и осталась в прошлый раз...{/size},,,,,
"S """"",S_9c702798,"Ладно, сделаем это! В этот раз ты от меня не уйдешь!",,,,,
"SRight """"",SRight_e14ec218,Не стоило напрашиваться!,,,,,
"SO """"",SO_174908cd,Я в таком предвкушении!,,,,,
"""""",narrator_0de8d2de,"Как только вы дотронетесь до члена, время пойдет.",,,,,
"SRight """"",SRight_69fd1833,"Это последний? Да! Кончи для меня как в последний раз, Сошс.",,,,,
"""""",narrator_57b97dcd,"Сара стала двигать рукой намного активнее, используя всю накопленную силу.",,,,,
"SRight """"",SRight_ac06ba0e,*Хлюп* Ты же так этого хотел. Так сделай это!,,,,,
"SOLeft """"",SOLeft_e6a3694b,"Хи-ха-хи! Приятно! Очень приятно, не могу больше терпеть!",,,,,
"SOLeft """"",SOLeft_37ecdb0e,Я готов выпустить все!,,,,,
"""""",narrator_971cae1a,"Понять Сошса становилось все сложнее из-за неразборчивых звуков, которые он издавал.",,,,,
"SRight """"",SRight_7e640a5a,"Не заставляй меня ждать, Сошс. Я хочу получить все здесь и сейчас.",,,,,
"""""",narrator_ba41e592,"Сара дрочила дрону с особым усердием, срываясь на дикий темп.",,,,,
"SRight """"",SRight_dde08ede,"(От меня еще никто не уходил неудовлетворенный, хи-хи.)",,,,,
"SOLeft """"",SOLeft_757dd0aa,Ха... Ха.,,,,,
"""""",narrator_2849ab29,*Хлюп* *Хлюп* *Хлюп*,,,,,
"""""",narrator_5f749f73,"Сара чувствовала нарастающее напряжение Сошса, готовящегося излить на нее сперму.",,,,,
"SRight """"",SRight_86f0a946,"(Я уже чувствую, как много ее будет...)",,,,,
"SOLeft """"",SOLeft_bd46be36,"Да, хе-хе-хе! Получай...",,,,,
"SRight """"",SRight_320b22cb,Сразу три???,,,,,
"SRight """"",SRight_c02abaaa,Ааааааа!!!,,,,,
"""""",narrator_0f11dec0,"Сара была удивлена тем, что Сошс смог покрыть ее семенем полностью. Это создавало необычное ощущение на ее коже.",,,,,
