location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_45c3ca0e,"Сай'мон, думаю, пришло время заняться тренировкой связи с Роем.",S_45c3ca0e,,,,
"C """"",C_464c6d46,"(Отлично, сейчас попробую тебе объяснить.)",C_464c6d46,,,,
"C """"",C_d204442f,"(Это, конечно, будет не так просто, как хотелось, но все же.)",C_d204442f,,,,
"C """"",C_8f061e83,"(Как я говорил ранее, ты уже можешь слышать Рой. Но самая главная проблема состоит в том, что твой разум не готов таким нагрузкам.)",C_8f061e83,,,,
"C """"",C_c152a7d1,"(Но есть и положительные моменты: ты сильный псионик и те тренировки, что ты проходила, чтобы развить и научиться контролировать эту силу, сыграют нам на руку.)",C_c152a7d1,,,,
"S """"",S_a4dad63b,...,S_a4dad63b,,,,
"S """"",S_43cdd980,(Ты... и про это знаешь?),S_43cdd980,,,,
"C """"",C_0ad0a581,"(Да. Но, думаю, сейчас неподходящее время для этого разговора.)",C_0ad0a581,,,,
"S """"",S_471082e6,(...),S_471082e6,,,,
"C """"",C_01c42333,"(Чтобы было тебе более понятно, все это время я, так сказать, ограничивал тебя от связи с Роем, блокируя не только псионные способности, но и также эту самую связь.)",C_01c42333,,,,
"S """"",S_4e029fc3,"(Хорошо, так в чем заключается данная тренировка? Что мне нужно сделать?)",S_4e029fc3,,,,
"C """"",C_987e728e,"(Не торопись, для начала, думаю, тебе стоит лично узнать и почувствовать, что такое Рой.)",C_987e728e,,,,
"C """"",C_d9d01375,"(Сейчас я чуть-чуть ослаблю твою блокировку, будь готова.)",C_d9d01375,,,,
"S """"",S_45d2873d,"(Хорошо, я готова!)",S_45d2873d,,,,
"""""",narrator_4423356f,"Выражение лица Сары резко изменилось, она стала очень серьезна. Закрыв, глаза пыталась лучше сконцентрироваться на своих чувствах.",narrator_4423356f,,,,
"S """"",S_0cbe9054,Ахх...{w} нет... {w}так много... {w}Я... {w}я справлюсь...,S_0cbe9054,,,,
"S """"",S_67e7dfdc,Ч-что это? Аххх... {w}Их слишком много...,S_67e7dfdc,,,,
"S """"",S_4249c312,Я...{w} нет... я не могу... {w}моя голова...,S_4249c312,,,,
"S """"",S_e64d674b,Я не слышу собственных мыслей...{w} п-перестаньте...{w} в-вас очень много...,S_e64d674b,,,,
"S """"",S_ca675970,Нет-нет-нет! Аххх...,S_ca675970,,,,
"""""",narrator_1bb5e4dc,"В сознании Сары четко появился образ невероятно огромного создания. Она видела, что его окружают огромные стаи летающих зергов. Это создание, казалось, состояло только из щупалец, покрытых хитином, просто щупалец и костяных наростов.",narrator_1bb5e4dc,,,,
"""""",narrator_fe027faf,"На фоне звезд Cара видела, как огромные покрытые хитином щупальца движутся. Под защитной оболочкой в центре существа был огромный глаз, поистине циклопических размеров. И взор его был направлен прямиком на Сару.",narrator_fe027faf,,,,
"S """"",S_9ccf078b,!!!,S_9ccf078b,,,,
"S """"",S_e9b68be3,Ч-ч-что это за создание??? Н-не приближайся ко мне!,S_e9b68be3,,,,
"""""",narrator_9fc7173b,"После чего Сара начала видеть различные фрагменты памяти, с которыми не находила никакой связи. Они сменялись один на другой, слишком быстро, из-за этого было невозможно понять, чьи они и что они означают.",narrator_9fc7173b,,,,
"S """"",S_84778d3b,"Ахх... я-я не понимаю, что происходит... {w}слишком быстро... {w}слишком много...",S_84778d3b,,,,
"S """"",S_327362c6,Н-нет... ч-что происходит...,S_327362c6,,,,
"C """"",C_cddfb5b8,{size=-15}(Сара...){/size},C_cddfb5b8,,,,
"C """"",C_ec2e8f3d,{size=-10}(Сара...){/size},C_ec2e8f3d,,,,
"C """"",C_94fdcf87,{size=-5}(Сара...){/size},C_94fdcf87,,,,
"C """"",C_e3ddfc05,{size=+5}(Сара!!!){/size},C_e3ddfc05,,,,
"S """"",S_010e5818,Аххх...,S_010e5818,,,,
"S """"",S_3bed101f,Ч-что это было... и...,S_3bed101f,,,,
"S """"",S_cde7f99a,Ах... моя голова... почему она так сильно болит?,S_cde7f99a,,,,
"C """"",C_6eedfac9,"(Не переживай, это вполне нормальная реакция. Если хочешь, я могу ослабить эту боль.)",C_6eedfac9,,,,
"S """"",S_ae022b5b,"Да, было бы неплохо.",S_ae022b5b,,,,
"C """"",C_ff444358,(Сейчас сделаю.),C_ff444358,,,,
"""""",narrator_13db018f,"Спустя миг головная боль Сары утихла, она также почувствовала небольшую усталость.",narrator_13db018f,,,,
"S """"",S_89d82e4f,"Со мной происходили вещи и похуже. Не стоит тратить силы на такое, я справлюсь.",S_89d82e4f,,,,
"C """"",C_815e31b4,(Как скажешь.),C_815e31b4,,,,
"C """"",C_86f862a4,"(Сначала все было нормально, я полностью контролировал ситуацию... но потом ты просто перестала отзываться.)",C_86f862a4,,,,
"S """"",S_50ec9922,"(Ты знаешь, из-за чего это могло произойти?)",S_50ec9922,,,,
"C """"",C_d91a3b5b,"(Скорей всего, твой разум пытался проникнуть в сознание Роя, из-за чего его начало затягивать все глубже и глубже.)",C_d91a3b5b,,,,
"C """"",C_aa60e7c3,"(Но самое странное то, что я в этот момент перестал ощущать тебя, будто ты просто пропала... Что там происходило, ты что-нибудь помнишь?)",C_aa60e7c3,,,,
"S """"",S_616d3d28,(Я... я не знаю...),S_616d3d28,,,,
"S """"",S_fb90b710,"(Там было слишком много всего... это было какими-то фрагментами памяти, но не знаю, чьи они... Все произошло слишком быстро, я не понимала, что происходит.)",S_fb90b710,,,,
"S """"",S_5a9ec028,"Но единственное, что я отчетливо помню, это какое-то существо... оно очень странно выглядело... и очень пугающе.",S_5a9ec028,,,,
"C """"",C_64c0f7ca,"(Хм, это может быть все, что угодно. Мы точно сможем узнать, только продолжив нашу тренировку.)",C_64c0f7ca,,,,
"""""",narrator_b8002ac8,Вдруг неожиданно открылась дверь и в комнату зашел Стуков.,narrator_b8002ac8,,,,
"A """"",A_5f3f8371,Я не помешал?,A_5f3f8371,,,,
"S """"",S_8284caa0,"Нет, мы как раз закончили.",S_8284caa0,,,,
"A """"",A_0376ac93,Отлично. Пришло время познакомить тебя с Абатуром...,A_0376ac93,,,,
"S """"",S_9ccf078b_1,!!!,S_9ccf078b_1,,,,
"S """"",S_c55dca96,"Что, прямо сейчас?",S_c55dca96,,,,
"A """"",A_c50e56f3,"Нет, у него очень плотный график и тебе придется стоять в живой очереди.{w} Конечно, сейчас!",A_c50e56f3,,,,
"S """"",S_a4dad63b_1,...,S_a4dad63b_1,,,,
"S """"",S_c0623018,(Идиот...),S_c0623018,,,,
"A """"",A_f828e147,"Идем, он ждет тебя.",A_f828e147,,,,
"C """"",C_c20fae7e,"(Наш разговор может подождать, сперва тебе нужно встретиться с Абатуром.)",C_c20fae7e,,,,
"S """"",S_e6eff5ae,(Хорошо.),S_e6eff5ae,,,,
"A """"",A_8095fe14,"Ну вот, мы пришли. Дальше тебе придется идти одной.",A_8095fe14,,,,
"S """"",S_28d8f5c7,Ты не пойдешь со мной?,S_28d8f5c7,,,,
"A """"",A_87afcc2e,"Нет, я буду ждать тут. Как только все закончится, отведу тебя обратно.",A_87afcc2e,,,,
"A """"",A_4daeeba1,"И это... давай не затягивай, у меня нет желания задерживаться здесь.",A_4daeeba1,,,,
"""""",narrator_a7fda770,"Стуков отошел в сторону от огромных дверей и облокотился на стену, если это можно назвать стеной. Достал какое-то устройство и начал что-то увлеченно смотреть в нем.",narrator_a7fda770,,,,
"""""",narrator_b3b58418,"Двери начали открываться. Это произошло в тот момент, когда Сара только подумала о том, как ей попасть внутрь. Из помещения начал струиться странный зеленоватый ‘пар’.",narrator_b3b58418,,,,
"S """"",S_4a031120,Ох... ну и запах...,S_4a031120,,,,
"Aside3 """"",Aside3_77be75d7,"Это далеко не самое ужасное, что тебе предстоит встретить там.",Aside3_77be75d7,,,,
"S """"",S_d411a453,"(Хм... что же там меня ждет? Если я правильно все понимаю, между этим существом и Стуковым есть какие-то разногласия.)",S_d411a453,,,,
"S """"",S_313e3393,"(Самое время узнать, что же это за существо и почему именно сейчас мне нужно встретиться с ним.)",S_313e3393,,,,
"S """"",S_2e16e2c8,"Хорошо, тогда я пошла.",S_2e16e2c8,,,,
"""""",narrator_5a0f01d0,"Как только Сара зашла в помещение, дверь позади нее сразу же закрылась. Помещение было огромным, создавалось такое впечатление, что у него нет границ.",narrator_5a0f01d0,,,,
"""""",narrator_6f7328f4,"Вся комната была как огромный лабиринт: в нем было очень много коридоров и они все очень длинные. Вдоль проходов были размещены различные пузыри. Некоторые из них были пустые, какие-то наполнены странными жидкостями, а в других находились непонятные существа.",narrator_6f7328f4,,,,
"""""",narrator_648045c5,"Сара никогда прежде не видела ничего такого, ее сердечный ритм начал стремительно учащаться, небольшой страх присутствовал, пока она находилась в этой комнате.",narrator_648045c5,,,,
"""""",narrator_b83dab96,"Но Сара не простой терран. Она призрак и прекрасно знала, что такое страх и что самое главное — не давать страху затмить свой разум.",narrator_b83dab96,,,,
"S """"",S_4383c831,"(Сай'мон, куда мне нужно идти?)",S_4383c831,,,,
"""""",narrator_0b470444,"Но в ответ Сара услышала только бульканье, иногда раздающееся из некоторых пузырей.",narrator_0b470444,,,,
"S """"",S_b4ddb9a1,(Сай'мон? Ты меня слышишь?),S_b4ddb9a1,,,,
"S """"",S_d756f3bc,(Черт... мне...),S_d756f3bc,,,,
"S """"",S_9ccf078b_2,!!!,S_9ccf078b_2,,,,
"""""",narrator_63d708ef,"Вдруг прямо возле Сары из-под ‘земли’ начало выбираться необычное создание, которое затем уставилось на Сару.",narrator_63d708ef,,,,
"AB """"",AB_f926e498,"Организм терранов. Генетический код примитивен, эссенция терранов слабая. Необходимо улучшение.",AB_f926e498,,,,
"S """"",S_6386ab8d,Ч-что ты такое говоришь? Какое еще улучшение?! Не смей трогать меня!,S_6386ab8d,,,,
"AB """"",AB_19bcee3d,"Испытывает страх, приемлемо. Не найдено отличий от других терранов, нужно подробное изучение.",AB_19bcee3d,,,,
"S """"",S_70f56d5e,Кто ты такой? Это я с тобой должна была встретиться?,S_70f56d5e,,,,
"AB """"",AB_bb461cd9,"Абатур, развитие Роя, изучение ДНК. Служу Сверхразуму, сейчас подчиняюсь Владычице.",AB_bb461cd9,,,,
"S """"",S_519f6e67,Зачем мне нужно было встретиться с тобой?,S_519f6e67,,,,
"AB """"",AB_48cb28a9,"Общение чрезмерное. Обнаружен организм, генетический код хороший, недостаточно данных, требуется изучение.",AB_48cb28a9,,,,
"AB """"",AB_79b5e496,"Изменения запрещены, эксперименты запрещены. Ищу иной путь.",AB_79b5e496,,,,
"S """"",S_df77f0c9,"(Это он про Сай'мона, что ли?)",S_df77f0c9,,,,
"AB """"",AB_e4979a27,"Вопрос не распознается, не обнаружена логическая структура.",AB_e4979a27,,,,
