location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_d31debdc,"Лиззара вздрогнула, услышав размеренный стук каблуков.",narrator_d31debdc,,,,
"L """"",L_effa9a5c,(Я знаю этот звук... Он можешь принадлежать только...),L_effa9a5c,,,,
"S1 """"",S1_4a2abc74,Ха-ха-ха. Не ждала?,S1_4a2abc74,,,,
"S1 """"",S1_86ce93c8,"Моя маленькая собачонка, как ты могла от меня утаить такое важное событие?",S1_86ce93c8,,,,
"L """"",L_730f3d2e,"(Я... Я не понимаю, о чем ты.)",L_730f3d2e,,,,
"L """"",L_0120d84e,"(Никаких событий! Я просто... сижу здесь. Да, просто сижу.)",L_0120d84e,,,,
"S1 """"",S1_36424010,"Ты та-а-ак плохо врешь, Лиззара. Может, преподать тебе урок лжи?",S1_36424010,,,,
"S1 """"",S1_830839f5,"Стоило мне только заговорить, так ты сразу стала все отрицать. А твой голос... Давно он так дрожит?",S1_830839f5,,,,
"L """"",L_0f734aa9,(А... Я...),L_0f734aa9,,,,
"S1 """"",S1_350c8356,Тс-с-с-с-с-с-с...,S1_350c8356,,,,
"""""",narrator_a1a1067d,"Королева Клинков приближалась все ближе, теперь Лиззара могла чувствовать ее дыхание.",narrator_a1a1067d,,,,
"S1 """"",S1_cde75fc3,"У тебя на лице все написано. Можешь даже не пытаться, врать это не твое.",S1_cde75fc3,,,,
"""""",narrator_31d1514e,"Лиззара боялась поднять свои глаза, слыша в голосе девушки нарастающее недовольство.",narrator_31d1514e,,,,
"S1 """"",S1_71b7ef0e,"Чего замолчала? Решила сдаться с поличным? Правильное решение, милашка.",S1_71b7ef0e,,,,
"""""",narrator_4fe359b7,"Королева Клинков грациозно, как кошка, запрыгнула на поручень трона, внимательно изучая мелко трясущееся тело рядом.",narrator_4fe359b7,,,,
"S1 """"",S1_6ad925f0,"Да брось ты, мы же лучшие подружки... Почему ты все время об этом забываешь? Ты можешь рассказать мне все что угодно, хи-хи.",S1_6ad925f0,,,,
"L """"",L_b1d3ebd8,(Ха???),L_b1d3ebd8,,,,
"L """"",L_53eb4d2e,"(Подружки? После всего, что ты со мной сделала?! ТЫ СМЕЕШЬ НАЗЫВАТЬ НАС ПОДРУЖКАМИ?!)",L_53eb4d2e,,,,
"""""",narrator_94af4ae3,"Королева Клинков лишь улыбнулась в ответ, продолжая беззаботно вести беседу с девушкой.",narrator_94af4ae3,,,,
"S1 """"",S1_cb0e11c9,"Ха-ха-ха, ты так любишь преувеличивать, Лиззара. Да колись уже. Чья это была идея?",S1_cb0e11c9,,,,
"L """"",L_3f90ef13,(П-прекрати... Я не хочу это обсуждать!),L_3f90ef13,,,,
"S1 """"",S1_b248e71f,"Ну же, ты ведь не можешь скрывать это вечно. Тебе же нужно кому-то выговориться, это прекрасный момент. Я как раз в хорошем настроении.",S1_b248e71f,,,,
"S1 """"",S1_4b91e16f,"Мне так надоели обычные дела, хочу развеяться. И нет ничего лучше, чем послушать истории своей любимой подружки, которая пыталась скрыть от меня такое веселье, хи-хи-хи.",S1_4b91e16f,,,,
"L """"",L_c9180a0a,(Х-хватит! Прекрати это сейчас же!!!),L_c9180a0a,,,,
"L """"",L_19578add,(Черт... Только не снова!),L_19578add,,,,
"""""",narrator_ab85f518,"Лиззара с трудом удержала равновесие, чувствуя, как перед глазами все плывет.",narrator_ab85f518,,,,
