"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_3cf4a301","","","False","","",""
"""""","narrator_f2dbf16d","","","False","","",""
"A """"","A_8f70a9b9","","","False","","",""
"Q """"","Q_bc96a1a8","","","False","","",""
"""""","narrator_4c40851f","","","False","","",""
"Q """"","Q_b47f6fd4","","","False","","",""
"Q """"","Q_f3f1fcdd","","","False","","",""
"A """"","A_021c6799","","","False","","",""
"""""","narrator_8628294b","","","False","","",""
"Q """"","Q_f4ade5ac","","","False","","",""
"A """"","A_1ce089a8","","","False","","",""
"Q """"","Q_37eadd2d","","","False","","",""
"A """"","A_f75d236b","","","False","","",""
"A """"","A_4d9de1d5","","","False","","",""
"Q """"","Q_f2373a50","","","False","","",""
"A """"","A_32af0107","","","False","","",""
"A """"","A_fdb5deff","","","False","","",""
"Q """"","Q_49f1b459","","","False","","",""
"Q """"","Q_5dcb27fe","","","False","","",""
"Q """"","Q_9d35665d","","","False","","",""
"""""","narrator_029928ed","","","False","","",""
"Q """"","Q_b8f9b005","","","False","","",""
"Q """"","Q_fb4d266c","","","False","","",""
"A """"","A_4f8f863e","","","False","","",""
"Q """"","Q_9e8e5aaa","","","False","","",""
"""""","narrator_38ffe79e","","","False","","",""
"A """"","A_de4eee89","","","False","","",""
"Q """"","Q_717c43a9","","","False","","",""
"""""","narrator_a71dc04d","","","False","","",""
"Q """"","Q_0bc28cc0","","","False","","",""
"""""","narrator_9e5ffa26","","","False","","",""
"A """"","A_751ef829","","","False","","",""
"Q """"","Q_23e1563c","","","False","","",""
"""""","narrator_51bd9fb6","","","False","","",""
"""""","narrator_62850c9a","","","False","","",""
"Q """"","Q_dadcd127","","","False","","",""
"Q """"","Q_89aedcc3","","","False","","",""
"A """"","A_171808c8","","","False","","",""
"""""","narrator_7e13ad0e","","","False","","",""
"A """"","A_bde12114","","","False","","",""
"""""","narrator_c6eafd83","","","False","","",""
"Q """"","Q_a7ad0729","","","False","","",""
"A """"","A_31acf5b5","","","False","","",""
"Q """"","Q_a355fc83","","","False","","",""
"Q """"","Q_fc30f169","","","False","","",""
"Q """"","Q_56960ca0","","","False","","",""
"""""","narrator_5f5e10b8","","","False","","",""
"A """"","A_d13b85e4","","","False","","",""
"""""","narrator_a09a6064","","","False","","",""
"""""","narrator_b0baf4c9","","","False","","",""
"Q """"","Q_db8e315b","","","False","","",""
"A """"","A_63b5182b","","","False","","",""
"Q """"","Q_003d16f8","","","False","","",""
"""""","narrator_a7d048d8","","","False","","",""
"""""","narrator_5368ec5f","","","False","","",""
"Q """"","Q_43b8e35f","","","False","","",""
"""""","narrator_88a646a4","","","False","","",""
"Q """"","Q_fc258378","","","False","","",""
"""""","narrator_24b07c0c","","","False","","",""
"Q """"","Q_ff2bae82","","","False","","",""
"""""","narrator_8cd8b0a7","","","False","","",""
"A """"","A_a6215162","","","False","","",""
"A """"","A_9ad3894f","","","False","","",""
"Q """"","Q_b887031b","","","False","","",""
"""""","narrator_b7c25340","","","False","","",""
"Q """"","Q_1490f52c","","","False","","",""
"A """"","A_e5586deb","","","False","","",""
"Q """"","Q_7ba3daf6","","","False","","",""
"""""","narrator_df07528e","","","False","","",""
"A """"","A_d4357dd5","","","False","","",""
"A """"","A_bd6b42f7","","","False","","",""
"Q """"","Q_49066c1a","","","False","","",""
"Q """"","Q_851a238b","","","False","","",""
"""""","narrator_520e3616","","","False","","",""
"""""","narrator_bd68848a","","","False","","",""
"Q """"","Q_b266e2fd","","","False","","",""
"""""","narrator_d21b396e","","","False","","",""
"""""","narrator_b55b4c9d","","","False","","",""
"Q """"","Q_d9df3ce3","","","False","","",""
"""""","narrator_dc4aebf8","","","False","","",""
"A """"","A_5a668a8b","","","False","","",""
"""""","narrator_8ac650e3","","","False","","",""
"Q """"","Q_bb086d3b","","","False","","",""
"Q """"","Q_52a4492d","","","False","","",""
"A """"","A_72383250","","","False","","",""
"""""","narrator_d21b396e_1","","","False","","",""
"""""","narrator_8ecdd469","","","False","","",""
"""""","narrator_8a278a2a","","","False","","",""
"""""","narrator_85728e4b","","","False","","",""
"A """"","A_b33eebde","","","False","","",""
"Q """"","Q_c5879dc0","","","False","","",""
"""""","narrator_a8be08f1","","","False","","",""
"A """"","A_c53d4663","","","False","","",""
"A """"","A_8d674c59","","","False","","",""
"""""","narrator_f38a4be6","","","False","","",""
"""""","narrator_f38a4be6_1","","","False","","",""
"""""","narrator_f38a4be6_2","","","False","","",""
"A """"","A_c80f918a","","","False","","",""
"""""","narrator_c050dc5a","","","False","","",""
"Q """"","Q_f9d57fb4","","","False","","",""
"A """"","A_d2c1d9a4","","","False","","",""
